,Brand,Model,Type,Dimension (in),Screen Resolution,CPU Brand,CPU Model,CPU Frequency (GHz),GPU Brand,GPU Model,RAM (GB),HDD,SSD,OS,Weight (kg),Price (Euro)
40,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,4,,False,Windows,1.9,549.0
41,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,12,True,,Linux,,949.0
42,Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,False,,Windows,1.4,955.0
43,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,False,True,Windows,2.2,870.0
44,Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,8,True,False,Windows,2.1,389.0
45,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,8,True,False,Windows,2.2,949.0
46,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,True,False,No OS,2.2,519.0
47,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,True,True,Windows,2.02,855.0
48,Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,4,True,False,Windows,,530.0
49,HP,ProBook 470,Notebook,17.3,1920x1080,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX,8,True,True,Windows,2.5,977.0
50,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,True,Windows,1.88,1096.16
51,HP,ProBook 440,Notebook,14.0,1920x1080,Intel,Core i5 8250U,1.6,Intel,HD Graphics 620,8,False,,Windows,1.63,860.0
52,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,16,True,True,Windows,2.65,1349.0
53,HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce GTX 940MX,8,False,True,Windows,1.83,699.0
54,HP,250 G6,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.96,598.99
55,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,16,,True,Windows,2.2,1449.0
56,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,,Windows,1.21,1649.0
57,Acer,Aspire 5,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,8,True,False,Windows,2.2,689.0
58,HP,Probook 430,Notebook,13.3,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,16,False,True,Windows,1.49,1197.0
59,Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1060,8,False,,Windows,2.65,1195.0
60,Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,1.25,1049.0
61,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,AMD,Radeon R5 M430,8,,False,Linux,2.2,599.9
62,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,AMD,Radeon R5 M430,4,False,True,Linux,,485.0
63,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,Intel,Core i3 7100U,2.4,Nvidia,GeForce 920M,6,False,True,Windows,,577.0
64,HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,12,True,True,Windows,2.62,1249.0
65,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,AMD,Radeon 530,8,False,True,Windows,1.91,719.0
66,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 520,8,,,Linux,2.2,647.0
67,HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce MX150,8,False,True,Windows,1.38,1119.0
68,HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,6,False,True,Windows,1.58,659.0
69,Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,,Windows,1.85,414.9
70,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,8,False,True,Windows,1.3,1193.0
71,Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,8,False,True,Windows,1.58,1480.0
72,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,16,,True,Windows,1.5,1262.0
73,Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel,Core i7 7560U,2.4,Intel,Iris Plus Graphics 640,8,False,True,Windows,1.23,1379.0
74,HP,Probook 440,Notebook,14.0,1366x768,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,4,True,False,Windows,1.63,722.0
75,Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,,Windows,1.21,1629.0
76,HP,Probook 440,Notebook,14.0,1920x1080,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,8,False,True,Windows,,1084.0
77,Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 940MX,8,,True,Windows,,1130.33
78,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920x1080,Intel,Core i3 6006U,2.0,Nvidia,GeForce 920MX,4,True,False,Windows,2.0,564.0
