,Brand,Model,Type,Dimension (in),Screen Resolution,CPU Brand,CPU Model,CPU Frequency (GHz),GPU Brand,GPU Model,RAM (GB),HDD,SSD,OS,Weight (kg),Price (Euro)
162,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce GTX 950M,8,,True,No OS,,889.0
163,Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,8,False,True,Windows,2.56,879.0
164,Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,True,,Windows,2.2,985.0
165,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,True,False,Windows,2.04,559.0
166,Asus,Rog G701VIK-BA060T,Gaming,17.3,1920x1080,Intel,Core i7 7820HK,2.9,Nvidia,GeForce GTX 1080,16,False,True,Windows,,2999.0
167,HP,ProBook 430,Notebook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,4,True,False,Windows,1.49,675.0
168,Asus,ROG G752VSK-GC493T,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 980M,16,True,True,Windows,4.3,1799.0
169,Acer,Aspire 5,Notebook,17.3,1920x1080,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,4,False,True,Windows,3.0,702.0
170,Dell,Vostro 5370,Ultrabook,13.3,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,,True,Windows,1.41,949.0
171,HP,Envy 17-U275cl,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,16,True,False,Windows,2.9,1059.0
172,Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,True,,Windows,2.8,1142.0
173,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,False,True,No OS,2.2,444.0
174,HP,ProBook 450,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,Intel,HD Graphics 620,4,True,False,Windows,2.1,722.0
175,Dell,Vostro 3568,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,4,True,False,Windows,2.18,657.0
176,Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,AMD,Radeon R5 M430,8,True,False,Windows,2.24,565.0
177,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,4,True,False,No OS,2.2,467.0
178,HP,Probook 470,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX,8,True,,Windows,2.5,1018.0
